"Missing Age","State"
"73 Years","TN"
"33 Years","AL"
"16 Years","TN"
"20 Years","GA"
"20 Years","NC"
"16 Years","TN"
"38 Years","SC"
"29 Years","PA"
"25 Years","KY"
"16 Years","NC"
"17 Years","NC"
"41 Years","NC"
"31 Years","OH"
"79 Years","TN"
"36 Years","TN"
"49 Years","TN"
"50 Years","OH"
"53 Years","MD"
"48 Years","TN"
"58 Years","TN"
"37 Years","NY"
"70 Years","NC"
"35 Years","NC"
"30 Years","MS"
"73 Years","KY"
"30 Years","MD"
"44 Years","MS"
"45 Years","MS"
"17 Years","TN"
"40 Years","NC"
"40 Years","OH"
"17 Years","NC"
"59 Years","NC"
"16 Years","TN"
"38 Years","TN"
"19 Years","KY"
"15 Years","GA"
"17 Years","GA"
"61 Years","KY"
"45 Years","SC"
"54 Years","NC"
"16 Years","TN"
"37 Years","NC"
"36 Years","MS"
"17 Years","AL"
"30 Years","NC"
"17 Years","TN"
"62 Years","VA"
"22 Years","SC"
"65 Years","GA"
"16 Years","TN"
"30 Years","NC"
"24 Years","NC"
"16 Years","NC"
"16 Years","TN"
"50 Years","OH"
"41 Years","MD"
"72 Years","PA"
"33 Years","NC"
"16 Years","NC"
"63 Years","VA"
"14 Years","NC"
"34 Years","OH"
"30 Years","OH"
"53 Years","VA"
"16 Years","NC"
"17 Years","AL"
"16 Years","AL"
"29 Years","NY"
"20 Years","TN"
"15 Years","NC"
"28 Years","AL"
"44 Years","NY"
"64 Years","VA"
"63 Years","PA"
"28 Years","VA"
"16 Years","TN"
"30 Years","OH"
"39 Years","KY"
"64 Years","NC"
"58 Years","WV"
"58 Years","NY"
"29 Years","TN"
"15 Years","TN"
"16 Years","GA"
"52 Years","GA"
"25 Years","AL"
"14 Years","TN"
"19 Years","PA"
"41 Years","MS"
"49 Years","NC"
"35 Years","KY"
"17 Years","TN"
"24 Years","PA"
"15 Years","NY"
"21 Years","NY"
"71 Years","OH"
"27 Years","NC"
"40 Years","NC"
"27 Years","WV"
"16 Years","VA"
"37 Years","PA"
"37 Years","VA"
"32 Years","NY"
"27 Years","GA"
"62 Years","NC"
"17 Years","TN"
"42 Years","GA"
"30 Years","KY"
"34 Years","MD"
"50 Years","NC"
"40 Years","AL"
"29 Years","KY"
"13 Years","TN"
"52 Years","NC"
"11 Years","NC"
"41 Years","KY"
"25 Years","MD"
"16 Years","TN"
"53 Years","MS"
"46 Years","OH"
"41 Years","NY"
"33 Years","TN"
"13 Years","TN"
"30 Years","NC"
"40 Years","NC"
"31 Years","GA"
"60 Years","GA"
"48 Years","SC"
"21 Years","TN"
"16 Years","NY"
"29 Years","TN"
"16 Years","TN"
"15 Years","NC"
"27 Years","KY"
"15 Years","NY"
"52 Years","NY"
"45 Years","MD"
"68 Years","WV"
"37 Years","MS"
"15 Years","VA"
"31 Years","TN"
"14 Years","TN"
"27 Years","PA"
"52 Years","NY"
"32 Years","NC"
"23 Years","PA"
"55 Years","PA"
"17 Years","TN"
"17 Years","NY"
"16 Years","TN"
"21 Years","TN"
"24 Years","GA"
"32 Years","OH"
"41 Years","GA"
"17 Years","TN"
"60 Years","GA"
"35 Years","NY"
"16 Years","TN"
"17 Years","NC"
"30 Years","TN"
"19 Years","NC"
"17 Years","TN"
"36 Years","OH"
"31 Years","AL"
"48 Years","NC"
"31 Years","VA"
"42 Years","NC"
"49 Years","TN"
"15 Years","VA"
"25 Years","VA"
"15 Years","VA"
"16 Years","AL"
"54 Years","GA"
"16 Years","TN"
"16 Years","TN"
"30 Years","GA"
"44 Years","PA"
"15 Years","TN"
"39 Years","SC"
"16 Years","TN"
"17 Years","VA"
"32 Years","SC"
"37 Years","KY"
"31 Years","NC"
"46 Years","PA"
"36 Years","NY"
